"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16854","TC-04 | DELETE USER","chromium","2026-07-21","passed","2026-07-21","AdminHRM","","",""
"","46048","TC-01 | ADD USER","chromium","2026-07-21","passed","2026-07-21","AdminHRM","","",""
"","14579","TC-02 | SEARCH USER","chromium","2026-07-21","passed","2026-07-21","AdminHRM","","",""
"","14724","TC-03 | UPDATE USER","chromium","2026-07-21","passed","2026-07-21","AdminHRM","","",""
